holidayInfo,hoursDetails,info,menuInfo,one_info,address,title
연중무휴,영업시간:매일 11:00 ~ 22:00/저녁 LO:매일 21:00 ~ :,"이탈리아 요리 기관 ICIF 출신 셰프가 운영하는 스테이크 전문점 'Just Steak'입니다. 가게 내부는 모노톤으로 칠해져 있고 각기 다른 모양의 앤티크 가구로 차분하게 꾸며져 있습니다. 온도, 습도 등 조건을 맞춰 3주간 숙성시킨 드라이 에이징 방식으로 만든 티본스테이크가 대표 메뉴입니다. 이 외에도 오늘의 파스타, 애피타이저 등이 준비되어 있습니다.","T-Bone Steak (100g):17300,L-Bone Steak (100g):17300,그릴에 구운 야채:9900,볼로네제:20000",드라이에이징 방식의 티본 스테이크,서울특별시 강남구 언주로152길 11-7,Just Steak
"연휴-설날 전일,연휴-추석 익일,연휴-설날 대체공휴일,연휴-설날 전체,연휴-추석 당일,연휴-설날 익일,연휴-추석 전일,연휴-설날 당일,연휴-추석 대체공휴일,연휴-추석 전체",영업시간:매일 00:00 ~ 00:00,40년이 넘도록 순대국밥을 말아 내는 곳으로 3대째 이어져 내려 온 한식당입니다. 오래된 전통을 이어온 만큼 깊고 진한 맛의 육수가 일품입니다. 뒤끝없이 깔끔한 맛으로 해장에도 좋습니다.,"순대국:7000,따로국밥:8000,술국:13000",오랜 전통의 내장이 푸짐한 순대국집,경기도 수원시 팔달구 매산로 1-8,아다미식당
,영업시간:매일 11:30 ~ 20:30,오솔길이 깔려 있는 입구의 푸른 정원이 인상적인 한정식 전문점입니다. 식물들을 가지런히 심어둔 것이 한정식 전문점의 정갈한 분위기와 어울리는 곳입니다. 주말이나 식사시간에는 예약을 하고 가지 않으면 오래 기다려야 한다고 합니다. 15명부터 예약가능합니다.,"소담골정식:36000,한정식코스(A~C):15000",입구의 정원이 인상적인 한정식 전문점,경기도 용인시 수지구 이종무로170번길 12,소담골
정기휴무-매주(화),영업시간:매일 07:00 ~ 17:00,"직접 간을 해서 직접 만든 순두부 백반과 두부찌개, 두 가지 요리가 준비되어 있습니다. 잘 익은 묵은지와 신선한 버섯, 부드러운 두부의 맛이 잘 어우러지는 두부찌개가 인기인 곳입니다. 초당 두부 요리 전문점이 밀집해 있는 강릉고등학교 인근에 자리 잡고 있습니다.  ",두부찌개:9000,고소한 두부찌개가 인기인 한식당,강원도 강릉시 초당순두부길77번길 16,고분옥할머니순두부
연중무휴,영업시간:매일 08:30 ~ 20:30,"속초 중앙시장 근처에 위치한 생선구이 전문점 '88생선구이'. 불판에 생선을 올려놓고 직접 구워 먹을 수 있는 곳으로 싱싱한 생선과 해산물을 즐길 수 있는 곳입니다. 고등어부터 꽁치, 오징어, 가자미, 메로, 새치, 황열갱이, 도루묵, 삼치, 청어 등 열 가지의 다양한 생선을 모두 맛볼 수 있는 '생선구이 모듬정식'이 이곳의 단일 메뉴입니다. 생선은 모두 구워주므로 편하게 식사할 수 있으며 2인분 이상만 주문 가능하니 참고 바랍니다.",생선구이 모듬정식:15000,바삭하게 구워 고소한 생선구이 전문점,강원도 속초시 중앙부두길 71,88생선구이
"연휴-설날 전일,연휴-추석 익일,연휴-설날 대체공휴일,연휴-설날 전체,연휴-추석 당일,연휴-설날 익일,연휴-추석 전일,연휴-설날 당일,연휴-추석 대체공휴일,연휴-추석 전체",영업시간:매일 11:30 ~ 22:00,"염창동에 위치한 ‘유림’은 한방오리, 토종닭 등으로 조리하는 보양음식 전문점입니다. 천막 아래 준비된 야외 공간과 개별 방으로 이루어진 실내공간으로 계곡가 산장에 놀러 온 기분을 느낄 수 있습니다. 대표 메뉴는 토종닭을 사용해 푸짐한 양을 자랑하는 ‘토종 닭볶음탕’입니다. 길쭉하게 썰린 대파가 듬뿍 올라간 ‘닭볶음탕’은 토종닭 특유의 탄력있는 식감과 뛰어난 육향을 맛볼 수 있습니다. 푹 잘 익은 닭고기는 질깃하지 않으며 뼈가 잘 분리될 정도입니다. 달짝지근한 매운맛의 양념은 잡곡과 찹쌀을 넣어 지은 ‘찰밥’에 비벼 먹는 별미가 있습니다.","토종 닭도리탕:45000,토종닭백숙:45000,토종한방오리:50000,구이:25000,수육:23000",부들부들한 토종 닭볶음탕 맛집,서울특별시 강서구 양천로61길 90,유림
"연휴-설날 전일,연휴-추석 익일,연휴-설날 대체공휴일,연휴-설날 전체,연휴-추석 당일,연휴-설날 익일,연휴-추석 전일,연휴-설날 당일,연휴-추석 대체공휴일,연휴-추석 전체",영업시간:매일 11:00 ~ 21:00,"가재울역 2번 출구 인근에 위치한 간장 게장 전문점 '학운정'. 간장 게장과 산채 보리밥을 함께 즐기는 조합을 만나볼 수 있습니다. 대표 메뉴인 '간장 게장'은 큼직한 크기와 꽉 찬 알을 자랑합니다. 게 딱지의 내장과 알을 긁어, 밥과 함께 비벼 먹으면 진한 감칠맛을 느낄 수 있습니다. 낙지 한 마리가 통째로 들어가는 '꽃게탕'도 인기 메뉴. 기본찬과 밥은 리필이 가능하며 초등학생부터 인원수대로 주문을 받으니 참고하면 좋습니다.","간장게장 한마리:30000,갈치조림:17000,산채보리밥:9000",간장게장과 산채보리밥 전문점,인천광역시 서구 열우물로208번길 12,학운정
연중무휴,영업시간:매일 00:00 ~ 00:00,전주 콩나물국밥으로 유명한 콩나물국밥 전문점의 본점입니다. 메뉴로는 끓이지 않고 말아내어 수란을 함께 제공하는 방식인 전주남부시장식 콩나물국밥과 계란을 뚝배기 속에 넣고 끓이는식의 콩나물국밥이 있습니다. 콩나물 국밥에는 삶아 썰은 오징어를 추가할 수 있습니다.,"전주남부시장식콩나물국밥[토렴응용식]:7000,전주끓이는식콩나물국밥[전통직화식]:7000,전주끓이는식콩나물국밥[매운탕식]:7000,전주끓이는식콩나물국밥[맑은탕식]:7000,오징어사리:2000,얼큰돼지국밥:9000,현대옥순한두부찌개:8000,황태콩나물국밥:8000,수육국밥:9000,현대옥콩나물밥:9000,곤드레밥:9000,오징어튀김한접시:8000,아귀순살튀김한접시:10000,고추군만두튀김한접시:6000,순대모둠한접시:8000,머릿고기편육한접시:8000,콩불고기:9000,바싹불고기한접시:15000,불주꾸미볶음한접시:17000,큰오징어데침한접시:10000,현대옥햄볶음밥:7000,현대옥새우볶음밥:7000,현대옥스테이크:8000,어린이콩나물국밥:6000",전주식의 시원한 콩나물 국밥 전문점,전라북도 전주시 완산구 화산천변2길 7-4,현대옥 전주본점
정기휴무-매주(일),영업시간:매일 18:00 ~ 22:00/저녁 LO:매일 21:00 ~ :,두툼한 돔베고기 오겹살이 인기메뉴인 맛집입니다. 부드러우면서 쫄깃한 수육고기와 갈치젓이 함께 나오는게 특징입니다.돔베고기는 1시간전에 예약 필수입니다. 몸국이 무한서비스로 나오기 때문에 푸짐한 한끼를 즐길 수 있습니다. 한번 맛 보면 다시 찾을 수 밖에 없는 매력이 있는 집입니다.,"돔베고기백돼지오겹:38000,돔베고기흑돼지오겹:54000",부드러운 돔베고기 맛집,제주특별자치도 서귀포시 중앙로41번길 4,천짓골식당
"연휴-추석 당일,연휴-설날 당일",영업시간:매일 11:30 ~ 22:00,"피자 도우용 반죽을 그릇 위에 덮어서 구워낸 크림 스파게티, 'C-쿠치나'와 한우로 만든 안심 스테이크가 인기있는 레스토랑입니다. 백운호수 주변에서 1호점이 시작되었고 이곳은 2호점입니다. 새로 지은 건물이라 인기가 더 많습니다. 지금은 여의도와 판교 반포 등에 7-8개의 지점을 가지고 있으며 각 지역마다 손님이 붐빕니다. 이곳은 음식도 좋지만 테라스에서 백운호수를 바라다보는 전경이 정말 좋습니다. 파스타는 즉석에서 반죽한 생면을 사용하고 주변 텃밭을 이용해 허브나 토마토 등 각종채소를 직접 재배하여 사용하여 신선합니다. 올라뽀르노도 인기 메뉴 입니다. 파스타 종류가 가장 인기가 높습니다.","한치, 문어 튀김과 레몬 마요네즈:19000,해산물 토마토 바질소스 스파게티:28000,계란, 판체타, 후추, 파미자노레지아:24000",독특한 맛의 파스타가 있는 레스토랑,경기도 의왕시 의일로 25,올라 백운호수점
정기휴무-매주(월),영업시간:매일 11:00 ~ 21:00,"모든 메뉴에는 계란찜 된장국이 제공됩니다. 메뉴로 왕새우꼬치밥, 불닭꼬치밥, 그릴불고기밥, 그릴소고기밥, 매콤해물밥, 베이컨꼬치밥, 그릴치킨버섯밥, 소고기꼬치밥 등이 있습니다. 오후3~5시는 브레이크 타임입니다.","왕새우꼬치덮밥:13800,불고기퀘사디아:13800,등심스테이크:21000",일품요리 퓨전한식 전문점,경기도 성남시 분당구 야탑로111번길 12-11,쉐프의밥
정기휴무-매주(일),"영업시간:월,화,수,목,금,토 11:00 ~ 15:00","1971년부터 49년의 전통을 이어오고 있는 중국 음식점 ‘수봉반점’. 창업주인 노신자, 장병화 부부의 뒤를 이어 아들 부부 장훈규, 정해민씨가 2대째 변함없는 맛을 지켜오고 있습니다. 대표 메뉴는 돼지기름에 돼지고기와 주키니, 양파, 배추, 파, 당근 등 다양한 채소를 볶아 고춧가루와 마늘, 후추로 간을 하여 흰 쌀밥과 비벼 즐기는 ‘중화 비빔밥’. 아삭아삭하게 숨이 살아있는 채소와 부드럽게 씹히는 돼지고기가 칼칼하면서도 불맛이 살아있는 양념과 조화롭게 어우러집니다. 돼지고기와 함께 홍합, 오징어를 사용하여 고소하면서도 시원한 국물 맛을 살린 ‘바람돌이 짬뽕’도 인기 메뉴. 식사는 시간대별로 나눠 운영하며 미리 메뉴를 주문한 후 정해진 시간에 맞춰 매장에 방문하면 되니 참고 바랍니다.","중화비빔밥:7000,중화비빔면:7000,짬뽕:7000,짬뽕밥:7000,볶음밥:7000",얼큰하고 시원한 짬뽕이 인기인 중식당,대구광역시 북구 대현남로2길 60,수봉반점
연중무휴,영업시간:매일 10:30 ~ 19:30,"‘내호냉면’은 밀면을 최초로 개발하여 4대째 이어져 오고 있는 곳입니다. 투박한 외부와 내부의 모습이 세월의 흔적을 보여줍니다. 주문 후 제공되는 짭조름한 온 육수는 입을 개운하게 해줍니다. 대표 메뉴는 식욕을 돋우는 빨간 양념장이 듬뿍 올라간 ‘밀면’입니다. 진한 육향이 올라오는 육수와 부드럽게 끊기는 면발이 매력적입니다. 이곳에서는 처음에는 밀면 본연의 맛을 느끼고 그 후에 식초, 겨자를 취향에 따라 넣는 방법을 추천합니다. 밀면은 주문 즉시 조리를 시작하여 시간이 오래 걸리니 방문에 참고하시길 바랍니다.","비빔/물냉면:8000,밀면:5500,비빔밀면:6000,온면:8000,찐만두:5000",오랜 전통을 가진 밀면 전문점,부산광역시 남구 우암번영로26번길 17,내호냉면
연중무휴,영업시간:매일 10:00 ~ 21:40,라면사리를 넣은 칼칼한 김치찌개와 숙성된 부드러운 김치찜이 주 메뉴인 맛집입니다. 국채보상운동공원 근처의 KT 대구 지사 맞은편 골목에 위치하고 있습니다. 라면사리&공기밥이 무제한으로 제공되어 든든하게 먹을 수 있습니다.,"양지머리:43000,생고기(월~금만 판매):43000,오드래기:43000,대창:35000,등골:25000",칼칼한 김치찌개가 인기인 한식당,대구광역시 중구 동덕로 168-2,한옥집 대구점
"연휴-설날 전일,연휴-추석 익일,연휴-설날 대체공휴일,연휴-설날 전체,연휴-추석 당일,연휴-설날 익일,연휴-추석 전일,연휴-설날 당일,연휴-추석 대체공휴일,연휴-추석 전체",영업시간:매일 09:00 ~ 21:00,지역 주민들의 사랑을 받는 숨은 맛집이었지만 여행객 사이에서도 인기를 얻고 있습니다. 전체적으로 메뉴의 가격은 저렴하며 두루치기와 몸국이 잘 베스트셀러입니다. 특히 이곳의 몸국은 뭍에서 온 사람들도 입맞에 맞아 좋아한다고 하니 경험해보시는 것을 추천합니다. ,"보말국:7000,몽골리안볶음짬뽕:6000,고기국수:5000,순대접시:10000,흑돼지삼겹살:11000",두루치기와 몸국이 인기인 한식당,제주특별자치도 서귀포시 표선면 중산간동로 5218,명문사거리식당
,영업시간:매일 07:30 ~ 23:00,"유기농 밀가루와 천연사과 발효액종으로 빵을 발효시켜서 만드는 역사 깊은 빵집입니다. 버터와 설탕을 거의 사용하지 않아 담백한 것이 특징입니다. 바게트에 치즈를 발라 구운듯한 비주얼의 '치즈 바게트'와 생크림과 카스텔라 가루가 아낌없이 들어가 있는 쫀득한 '화이트 롤'이 인기 메뉴입니다. 그 외에도 다양한 건강빵과 조리빵, 케이크를 만날 수 있습니다.","마블카스테라:3400,치즈바게트:4200,옥수수 마약빵:2700,치즈에그롤:3200,먹물연유바게트:4000",건강한 재료를 쓰는 오랜 역사의 빵집,경기도 수원시 영통구 인계로189번길 7,하얀풍차제과매탄점
"연휴-설날 당일,일일-석가탄신일,연휴-추석 익일,일일-개천절,연휴-설날 전일,일일-어린이날,연휴-추석 당일,일일-광복절,일일-삼일절,연휴-설날 익일,일일-현충일,일일-신정,일일-한글날",영업시간:주중 11:00 ~ 21:30/영업시간:주말 11:00 ~ 21:00,압구정동에서 30년 넘게 평양만두 전문점으로 알려진 곳입니다. 오랜 역사만큼 맛에 대한 내공이 상당하다고 알려져 있습니다. 삼삼한 맛이 일품인 평양만두는 오랜 노하우만큼이나 깊은 맛을 자랑합니다.,"만두국:11000,찐만두:7500,군만두:8000,얼큰목로탕:8000,만두전골:27000",오랜 전통의 매일 직접 빚는 손만두,서울특별시 강남구 압구정로28길 18,목로평양만두국
"정기휴무-매월 넷째주(화),정기휴무-매월 둘째주(화),정기휴무-매주(월)","점심 LO:,일,화,수,목,금,토 14:30 ~ :/저녁 LO:,일,화,수,목,금,토 21:00 ~ :/런치:,일,화,수,목,금,토 12:00 ~ 15:30/디너:,일,화,수,목,금,토 17:00 ~ 22:00","기계를 사용하지 않고 간단한 도구와 손을 사용해 파스타의 면을 직접 뽑고, 음식을 만든다하여 가내수공업이라고 이름 지은 이탈리안 음식점입니다. 파스타를 주문하면 식전빵으로 브르스케타와 스프, 허브차가 함께 나옵니다. 면을 직접 만들기 때문에 일반적인 파스타 면보다 넓직한 것이 특징입니다. 부산 기반 명란 제조업체인 덕화푸드의 명란과 크림 김 페스토 소스, 그리고 통통한 블랙타이거 새우를 넣어 만든 명란 크림 새우 생면파스타는 고소한 맛에 인기가 매우 좋습니다. 이 외에도 벌교꼬막 라비올리, 트러플 가르파치오 타야린 등 다른 곳에서는 맛보기 힘든 새로운 스타일의 파스타를 선보이고 있습니다. ","블랙타이거 새우와 모짜렐라 치즈, 그리고 압착 방식 토마토 소스를 곁들인 딸리아뗄레:18000,부산 로컬 덕화푸드 명란과 김페스토를 곁들인 트리네떼:18000,부전시장 최고의 조개 핸들러 태성 아저씨의 조개로 만든 오늘 봉골레:19000,소의 대창과 사태 힘줄, 그리고 살치살을 곁들인 이탈리아 트라빠:20000",직접 만든 면을 사용하는 파스타 맛집,부산광역시 해운대구 우동1로38번가길 25-8,가내수공업양식당비토
,영업시간:매일 07:30 ~ 00:00,"1987년에 시작해 오랜 전통있는 빵집 '효자베이커리'는 청와대에 케이크를 납품하여 방송과 매체를 통해 입소문이 난 곳입니다. 서촌 통인시장 옆에 자리하고 있으며 동네빵집처럼 생긴 친근한 매장 외관입니다. 단과자, 도넛, 구운 고로케 등 옛날 빵집에서 맛볼 수 있던 빵들부터, 요즘 인기 있는 발효 빵, 베이글까지 다양한 종류의 빵이 준비되어 있어 선택의 폭이 넓습니다. 이 곳에서 제일 유명한 시그니처메뉴는 단짠의 조화가 훌륭하고 양이 푸짐해 식사대용 빵으로 좋은 '콘브레드'이며, '어니언크림치즈 베이글'과 '통무화과 베이글', '먹물큐브', '호두파운드' 등도 인기있다. 인기 빵 종류는 일찍 소진될 수 있으니 참고 바랍니다.","경주빵:4500,아몬드쿠키:4000,수제초코파이:2000",선택의 폭이 넓은 오랜 전통의 빵집,서울특별시 종로구 필운대로 54,효자베이커리
"연휴-추석 당일,연휴-설날 당일",영업시간:매일 10:30 ~ 20:00,"여주 천서리 막국수 골목에서 3대에 걸쳐 90년이 넘는 역사를 써내려 오고 있는 ‘홍원막국수’. 매장 바로 앞에 별관을 따로 운영할 정도로 식사 시간 상관없이 많은 인기를 끌고 있습니다. 대표 메뉴 ‘비빔 막국수’는 단단하게 똬리를 튼 메밀 면 위로 양념장, 오이, 달걀, 김 가루를 차곡차곡 쌓아 제공합니다. 메밀가루와 고구마 전분을 8:2 비율로 섞은 반죽으로 뽑은 면발은 부드러우면서도 쫄깃한 식감을 동시에 느낄 수 있습니다. 매콤달콤한 양념장과 구수한 메밀면의 조합이 돋보이는 막국수는 반 정도 먹은 뒤 시원한 육수를 부어 자작하게 먹는 방법도 인기입니다. 24시간 이상 끓인 사골에 다시마, 무로 깊은 맛을 살린 육수가 막국수의 감칠맛을 한껏 살려줍니다.","비빔국수:8000,물국수:8000,편육:16000,온면:8000,곱빼기:9000",메밀 막국수가 일품인 막국수 맛집,경기도 여주시 대신면 천서리길 12,홍원막국수
정기휴무-매주(일),영업시간:주중 11:30 ~ 22:00/영업시간:토 11:30 ~ 21:00/휴식:매일 14:00 ~ 17:30,동경에서 45년 이상 메밀국수를 뽑아온 이노 유키오 셰프가 2대째 가업을 잇고 있는 일본소바전문점 오무라안입니다. 강원도 봉평메밀로 국수를 만들고 있으며 국내 거주하는 일본인들 사이에서도 본토맛에 가장 가깝다고 소문난 곳이기도 합니다. 저녁 영업시간에는 식사 메뉴를 판매하지 않습니다.,"소바:7000,김치우동:10000,규동:11000",일본 도쿄식 메밀 소바 전문점,서울특별시 강남구 논현로79길 66,오무라안
"정기휴무-매월 둘째주(월),정기휴무-매월 첫째주(월),정기휴무-매월 셋째주(월)",영업시간:매일 11:30 ~ 22:00,신촌이대거리에 위치한 '완차이'. 붉은색의 강렬한 간판으로 눈길을 끄는 중식당으로 평범한 중화요리뿐만 아니라 이색적인 중국요리를 맛볼 수 있는 곳입니다. 고춧가루로 기름을 내어 알싸하게 매운맛이 치고 올라오는 사천식 '아주 매운 홍콩 홍합'이 이곳의 시그니처 메뉴입니다. 볶음밥을 주문한 후 홍합과 매운 소스를 올려먹으면 매운맛이 중화되며 기름진 볶음밥과 궁합이 좋습니다.,"아주매운홍콩홍합:27000,완차이 짜장:6000,완차이 짬뽕:7500,돼지고기 볶음밥:8000,탕수육:18000",퓨전 중국요리를 전문으로 하는 중식당,서울특별시 서대문구 명물길 50-7,완차이
연중무휴,영업시간:매일 11:00 ~ 22:00/휴식:매일 15:00 ~ 17:00,패션을 모티브로 한 즉석떡볶이 집입니다. 패션디자이너 부부가 운영하는 한국 최초의 프리미엄 떡볶이로 2011년 6월 가로수길에 런칭 된 이후 유행을 주도하는 셀러브리티들과 트랜드세터들에게 가장 사랑 받고 있는 HOT PLACE입니다.,"즉석떡볶이 (2인분):14000,레드쉬림프떡볶이:8800,궁중떡볶이:8800,아라비아따떡볶이:9800,단호박떡볶이:9800",고급스러운 즉석떡볶이가 맛있는 분식집,서울특별시 강남구 도산대로13길 14-3,빌라 드 스파이시 가로수길점
"연휴-설날 전일,연휴-추석 익일,연휴-설날 대체공휴일,연휴-설날 전체,연휴-추석 당일,연휴-설날 익일,연휴-추석 전일,연휴-설날 당일,연휴-추석 대체공휴일,연휴-추석 전체","영업시간:월,화,수,목,금,토 11:00 ~ 03:00/영업시간:일 11:00 ~ 22:00","16년 전통의 국내 최초 일본식 활참복요리 전문점입니다. 연예인들도 많이 오고 갔을 정도로 가격이 높은 편이지만 그만큼 인기가 많은 곳입니다. 고슬고슬한 맛의 복 껍질, 쫀득쫀득한 복 사시미, 꼬득꼬득한 복 튀김 등 처음 접해보는 복요리가 코스로 제공됩니다. ","참복구이:55000,복불고기:55000,참복샤브샤브:55000,참복 맑은탕(매운탕):44000,참복 풀코스A(껍질, 회, 탕, 죽):99000",얇고 투명한 참복 사시미 전문점,서울특별시 강남구 도산대로50길 14,현복집
,영업시간:매일 11:00 ~ 21:00,"정육점을 함께 운영하는 돈가스, 스테이스 맛집입니다. 돈가스와 스테이크를 비롯해 모든 메뉴를 무한으로 즐길 수 있습니다. 바삭하게 튀겨 낸 돈가스와 스테이크, 치킨 가스를 동시에 맛보는 '모듬정식'이 인기 메뉴입니다.","모듬정식:8900,치즈모듬:9900,함박정식:10900",저렴한 가격의 수제돈가스 전문점,경기도 고양시 일산서구 성저로46번길 58,김추일돈까스&밀면
